text,nic_code,nic_label,division
we do real estate agent broker on small scale,68200,Real estate activities on fee basis,Real Estate
i own a lock and key making in india,25934,Manufacture of padlocks and locks,Manufacturing
pest control for local market,81299,Other building and industrial cleaning,Services
i run a dairy product making ghee butter as msme,10504,Manufacture of cream butter cheese ghee,Manufacturing
bakery unit for domestic market,10711,Manufacture of bread,Manufacturing
business activity: pcb printed circuit board for local market,26104,Manufacture of printed circuit boards,Manufacturing
real estate agent broker for domestic market,68200,Real estate activities on fee basis,Real Estate
my work is homeopathic medicine,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
the company is engaged in gas agency cylinder,35202,Distribution and sale of gaseous fuels,Energy
industry: paddy cultivation in india,1121,Organic farming of basmati rice,Agriculture
insurance agent,66220,Activities of insurance agents and brokers,Finance
i own a agarbatti incense sticks making in india,20238,Manufacture of agarbatti,Manufacturing
our business is doctor medical practice,86201,Medical practice activities,Healthcare
i own a plastic chair table making,22202,Manufacture of plastic household articles,Manufacturing
i am doing graphic design,74103,Services of graphic designers,Professional
i own a garment stitching in india,14101,Manufacture of textile garments,Manufacturing
i own a grocery shop in my village,47211,Retail sale of cereals and pulses,Trade
our business is mobile phone manufacturing for local market,26305,Manufacture of pagers cellular phones,Manufacturing
industry: computer assembly at home,26201,Manufacture of desktop and laptop computers,Manufacturing
i am doing shipping agent,52292,Activities of shipping cargo agents,Transport
i run a my business is wheat cultivation,1111,Growing of wheat,Agriculture
we have a hardware shop on small scale,47522,Retail sale of hardware,Trade
cement manufacturing as msme,23941,Manufacture of clinkers and cement,Manufacturing
the company is engaged in detergent manufacturing for local market,20233,Manufacture of detergent,Manufacturing
we are into warehouse storage in my city,52102,Warehousing non-refrigerated,Transport
i own a phenyl disinfectant making for export,20212,Manufacture of disinfectants,Manufacturing
sand quarrying,8106,Operation of sand or gravel pits,Mining
i do i grow mangoes,1221,Growing of mangoes,Agriculture
i run a led bulb making in my village,27400,Manufacture of electric lighting equipment,Manufacturing
photocopying shop,82191,Photocopying and duplicating services,Services
business activity: wooden toy making,32401,Manufacture of dolls and toy animals,Manufacturing
book shop stationery for export,47613,Retail sale of stationery,Trade
my work is cobbler shoe repair in india,95230,Repair of footwear and leather goods,Services
mobile recharge shop,61201,Activities of internet access wireless,IT Services
weighing machine manufacturing on small scale,28194,Manufacture of weighing machinery,Manufacturing
business activity: fish farming in india,3221,Fish farming in freshwater,Agriculture
tax consultant in india,69202,Tax consultancy,Finance
my work is farmer growing wheat in punjab in my village,1111,Growing of wheat,Agriculture
our business is rubber product manufacturing at home,22191,Manufacture of rubber plates and tubes,Manufacturing
i am doing warehouse storage at home,52102,Warehousing non-refrigerated,Transport
tea processing,10791,Processing and blending of tea,Manufacturing
my work is printing press on small scale,18112,Printing of books and magazines,Manufacturing
i run a private school for local market,85211,General school education first stage,Education
spectacle frame making,22206,Manufacture of spectacle frames of plastic,Manufacturing
painting contractor at home,43303,Interior and exterior painting,Construction
our business is aquaculture freshwater in india,3221,Fish farming in freshwater,Agriculture
we are into poultry farming for local market,1461,Raising and breeding of poultry,Agriculture
toy making on small scale,32401,Manufacture of dolls and toy animals,Manufacturing
dry cleaning laundry in india,96010,Washing and dry cleaning of textiles,Services
i do electrical installation,43211,Installation of electrical wiring,Construction
i own a carpet making in my city,13931,Manufacture of carpets of cotton,Manufacturing
weighing machine manufacturing for domestic market,28194,Manufacture of weighing machinery,Manufacturing
we have a rice cultivation in irrigated fields in my village,1121,Organic farming of basmati rice,Agriculture
i own a goat farming in my city,1441,Raising and breeding of sheep and goats,Agriculture
we do bus transport service for local market,49221,Long distance bus services,Transport
we have a vegetable fruit shop for domestic market,47212,Retail sale of fresh fruit and vegetables,Trade
veterinary doctor,75000,Veterinary activities,Professional
canteen mess as msme,56292,Operation of canteens,Hospitality
we are into perfume making for domestic market,20234,Manufacture of perfumes,Manufacturing
tailoring unit,14105,Custom tailoring,Manufacturing
our business is phenyl disinfectant making on small scale,20212,Manufacture of disinfectants,Manufacturing
our business is plastic chair table making,22202,Manufacture of plastic household articles,Manufacturing
this unit is involved in power loom in my village,13121,Weaving of cotton fabrics,Manufacturing
hair oil shampoo manufacturing for export,20236,Manufacture of hair oil and shampoo,Manufacturing
brassware manufacturing,25994,Manufacture of metal household articles,Manufacturing
industry: cyber cafe for domestic market,63992,Activities of cyber cafe,IT Services
this unit is involved in real estate developer in india,41001,Construction of buildings,Construction
we have a sugarcane cultivation for export,1140,Growing of sugar cane,Agriculture
i own a jute bag making for export,13942,Manufacture of cordage or rope of jute,Manufacturing
our business is weighing machine manufacturing as msme,28194,Manufacture of weighing machinery,Manufacturing
my work is silk weaving in india,13122,Weaving of silk fabrics,Manufacturing
we do graphic design,74103,Services of graphic designers,Professional
we are into cattle feed manufacturing in my city,10801,Manufacture of cattle feed,Manufacturing
i do i make papad at home,10796,Manufacture of papads and appalam,Manufacturing
paper bag making,17024,Manufacture of sacks and bags of paper,Manufacturing
we have a spinning mill cotton in my village,13111,Preparation and spinning of cotton fiber,Manufacturing
knitting hosiery unit for export,13913,Manufacture of knitted synthetic fabrics,Manufacturing
our business is tiffin catering service at home,56291,Activities of food service contractors,Hospitality
our business is stock broker,66120,Security and commodity contracts brokerage,Finance
i do battery manufacturing for local market,27201,Manufacture of primary cells and batteries,Manufacturing
we deal in ayurvedic clinic in my city,86901,Activities of Ayurveda practitioners,Healthcare
industry: cotton farming,1161,Growing of cotton,Agriculture
we are into agricultural equipment making in my city,28212,Manufacture of agricultural machinery,Manufacturing
i own a masala powder making,10795,Grinding and processing of spices,Manufacturing
industry: advertising agency on small scale,73100,Advertising,Professional
we do interior design work for local market,43303,Interior painting and decorating,Construction
business activity: copper wire making in my city,24201,Manufacture of copper products,Manufacturing
industry: mobile phone shop,47414,Retail sale of telecommunication equipment,Trade
tailoring alteration,95292,Repair and alteration of clothing,Services
i run a homeopathy clinic as msme,86903,Activities of homeopaths,Healthcare
sugarcane farming in india,1140,Growing of sugar cane,Agriculture
i own a chocolate making,10732,Manufacture of chocolate,Manufacturing
we deal in cutting tool manufacturing for export,25931,Manufacture of cutlery,Manufacturing
i run a i make wooden furniture at home,31001,Manufacture of furniture of wood,Manufacturing
we do goat farming on small scale,1441,Raising and breeding of sheep and goats,Agriculture
we have a spinning mill cotton for domestic market,13111,Preparation and spinning of cotton fiber,Manufacturing
our business is tailoring alteration,95292,Repair and alteration of clothing,Services
i do tea plantation for domestic market,1271,Growing of tea,Agriculture
i run a juice shop at home,56303,Fruit juice bars,Hospitality
business activity: coffee plantation for export,1272,Growing of coffee,Agriculture
we have a cyber cafe in india,63992,Activities of cyber cafe,IT Services
our business is soap making,20231,Manufacture of soap all forms,Manufacturing
business activity: glass bangle making for local market,23106,Manufacture of glass bangles,Manufacturing
industry: electric fan manufacturing in my city,27503,Manufacture of electric fans,Manufacturing
we are into switch socket manufacturing in india,27331,Manufacture of switch and socket,Manufacturing
plastic chair table making in my village,22202,Manufacture of plastic household articles,Manufacturing
business activity: market research for local market,73200,Market research and public opinion polling,Professional
i grow potatoes,1135,Growing of potatoes and tubers,Agriculture
i run a property dealer at home,68200,Real estate activities on fee basis,Real Estate
wind energy farm on small scale,35106,Electric power generation non conventional,Energy
my work is pharmacy medical shop as msme,47721,Retail sale of pharmaceuticals,Healthcare
i am doing ayurvedic medicine making in my city,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
i am doing pump manufacturing,28132,Manufacture of pumps and compressors,Manufacturing
we are into general store at home,47190,Other retail sale in non-specialized stores,Trade
this unit is involved in courier service as msme,53200,Courier activities,Transport
we deal in apiary business for domestic market,1492,Bee-keeping and production of honey,Agriculture
the company is engaged in embroidery work,13991,Embroidery work and making of laces,Manufacturing
this unit is involved in dal mill,10613,Dal (pulses) milling,Manufacturing
my work is shoe making on small scale,15201,Manufacture of leather footwear,Manufacturing
phenyl disinfectant making in india,20212,Manufacture of disinfectants,Manufacturing
sweet shop making mithai,10734,Manufacture of sweetmeats,Manufacturing
i own a i grow non basmati rice at home,1122,Organic farming of non-basmati rice,Agriculture
we are into knife scissors making on small scale,25931,Manufacture of cutlery,Manufacturing
wire fencing making,25993,Manufacture of metal cable and wire,Manufacturing
pesticide manufacturing,20211,Manufacture of insecticides,Manufacturing
our business is i make bread in my city,10711,Manufacture of bread,Manufacturing
agricultural equipment making,28212,Manufacture of agricultural machinery,Manufacturing
we do juice shop in my city,56303,Fruit juice bars,Hospitality
i own a silk weaving as msme,13122,Weaving of silk fabrics,Manufacturing
